huber_f_scale,calibration_kind,huber_eps,huber_alpha,ransac_rt,feat_mode,irls_residual_thresh_m,irls_max_iter,val_StepC_RMSE_m,val_StepC_MAE_m
0.95,huber,1.35,0.0001,,bias_sub,3.8,3,1.6478741480669135,1.281495479175453
0.95,huber,1.35,0.001,,bias_sub,1.2,2,1.720192799578727,1.3637073714058028
0.95,huber,1.35,0.001,,bias_sub,1.2,3,1.7537333647387165,1.402087005247434
0.95,huber,1.35,0.001,,bias_sub,1.6,2,1.687157274138271,1.3292571511043436
0.95,huber,1.35,0.001,,bias_sub,1.6,3,1.7098968430065695,1.3530743236387377
0.95,huber,1.35,0.001,,bias_sub,2.0,2,1.666874628085056,1.3025021923873608
0.95,huber,1.35,0.001,,bias_sub,2.0,3,1.6752580265629116,1.310939040431857
0.95,huber,1.35,0.001,,bias_sub,2.4,2,1.656538912815057,1.2907004379033113
0.95,huber,1.35,0.001,,bias_sub,2.4,3,1.6604565066894361,1.2945838432965355
0.95,huber,1.35,0.001,,bias_sub,2.8,2,1.6519179463520652,1.285784474154766
0.95,huber,1.35,0.001,,bias_sub,2.8,3,1.654003146734573,1.2872935035074542
0.95,huber,1.35,0.001,,bias_sub,3.2,2,1.648975488262575,1.283016391190053
0.95,huber,1.35,0.001,,bias_sub,3.2,3,1.650061252865615,1.2837117642689575
0.95,huber,1.35,0.001,,bias_sub,3.8,2,1.6476969973454658,1.2812651306555525
0.95,huber,1.35,0.001,,bias_sub,3.8,3,1.6478745478086008,1.2814960564656266
0.95,huber,1.55,1e-06,,bias_sub,1.2,2,1.7502345131527346,1.392730838344579
0.95,huber,1.55,1e-06,,bias_sub,1.2,3,1.7886287158021674,1.4372447694854942
0.95,huber,1.55,1e-06,,bias_sub,1.6,2,1.7123676504309497,1.3541452239595932
0.95,huber,1.55,1e-06,,bias_sub,1.6,3,1.734615577145285,1.3763504891038862
0.95,huber,1.55,1e-06,,bias_sub,2.0,2,1.6922972451234088,1.3294622315781046
