val_sample_index,Node_x,Node_y,anchor_slot,anchor_uwb,Pass,Gate_Drop,Var_Drop
89,20,28,4,d1044709,0,0,1
89,20,28,5,4e610206,0,0,1
90,2,2,0,110394ab,1,0,0
90,2,2,1,e63ce2f,0,0,1
90,2,2,2,8e610981,0,1,0
90,2,2,3,d10485af,0,0,1
90,2,2,4,d1044709,0,1,0
90,2,2,5,4e610206,0,1,0
91,18,2,0,110394ab,0,1,0
91,18,2,1,e63ce2f,1,0,0
91,18,2,2,8e610981,0,1,0
91,18,2,3,d10485af,1,0,0
91,18,2,4,d1044709,0,0,1
91,18,2,5,4e610206,0,0,1
92,2,28,0,110394ab,0,1,0
92,2,28,1,e63ce2f,0,1,0
92,2,28,2,8e610981,0,1,0
92,2,28,3,d10485af,0,0,1
92,2,28,4,d1044709,0,0,1
92,2,28,5,4e610206,0,0,1
93,18,28,0,110394ab,0,0,1
93,18,28,1,e63ce2f,0,1,0
93,18,28,2,8e610981,0,1,0
93,18,28,3,d10485af,0,1,0
93,18,28,4,d1044709,0,0,1
93,18,28,5,4e610206,1,0,0
94,10,8,0,110394ab,0,1,0
94,10,8,1,e63ce2f,0,0,1
94,10,8,2,8e610981,1,0,0
94,10,8,3,d10485af,1,0,0
94,10,8,4,d1044709,1,0,0
94,10,8,5,4e610206,0,1,0
95,10,22,0,110394ab,0,0,1
95,10,22,1,e63ce2f,0,1,0
95,10,22,2,8e610981,1,0,0
95,10,22,3,d10485af,0,0,1
95,10,22,4,d1044709,1,0,0
95,10,22,5,4e610206,1,0,0
96,6,15,0,110394ab,1,0,0
96,6,15,1,e63ce2f,1,0,0
96,6,15,2,8e610981,1,0,0
96,6,15,3,d10485af,0,0,1
96,6,15,4,d1044709,0,1,0
96,6,15,5,4e610206,0,1,0
97,16,15,0,110394ab,0,1,0
97,16,15,1,e63ce2f,1,0,0
97,16,15,2,8e610981,0,0,1
97,16,15,3,d10485af,0,0,1
97,16,15,4,d1044709,1,0,0
97,16,15,5,4e610206,1,0,0
98,10,15,0,110394ab,1,0,0
98,10,15,1,e63ce2f,0,0,1
98,10,15,2,8e610981,1,0,0
98,10,15,3,d10485af,1,0,0
98,10,15,4,d1044709,0,0,1
98,10,15,5,4e610206,1,0,0
99,15,9,0,110394ab,1,0,0
99,15,9,1,e63ce2f,0,1,0
99,15,9,2,8e610981,1,0,0
99,15,9,3,d10485af,0,0,1
99,15,9,4,d1044709,1,0,0
99,15,9,5,4e610206,0,0,1
