row_idx,anchor_key,true_dist_m,uwb_median_m,uwb_median_bias_corrected_m,gate_resid_m,passed_v15_gate
231,d1044709,8.919641248391104,8.4,9.3961,0.47645875160889695,1
234,8e610981,8.73613186713662,6.47,6.9855,1.7506318671366206,1
236,8e610981,6.0,7.08,7.5955,1.5955000000000004,1
237,8e610981,6.118823416311342,7.48,7.995500000000001,1.876676583688659,1
239,8e610981,3.0,2.68,3.1955,0.1955,1
239,d1044709,3.794733192202056,2.99,3.9861000000000004,0.19136680779794446,1
239,4e610206,7.8,8.32,8.9274,1.1274000000000006,1
242,8e610981,6.841052550594828,8.21,8.7255,1.8844474494051724,1
243,e63ce2f,9.486832980505138,4.24,7.883,1.6038329805051381,1
243,8e610981,4.686149805543993,4.48,4.995500000000001,0.309350194456008,1
244,e63ce2f,9.158602513484249,3.86,7.503,1.655602513484249,1
244,8e610981,5.161395160225576,4.95,5.4655000000000005,0.3041048397744248,1
244,d10485af,6.378087487640788,6.14,8.191099999999999,1.8130125123592107,1
244,d1044709,4.024922359499621,1.53,2.5261,1.4988223594996213,1
245,e63ce2f,8.85889383614004,3.59,7.233,1.6258938361400395,1
245,8e610981,5.660388679233963,5.48,5.995500000000001,0.3351113207660381,1
245,d1044709,3.794733192202055,1.3,2.2961,1.498633192202055,1
246,e63ce2f,8.590692637965812,3.6,7.243,1.347692637965812,1
246,8e610981,6.177378084592201,5.98,6.495500000000001,0.3181219154077999,1
246,4e610206,2.3999999999999986,2.33,2.9374000000000002,0.5374000000000017,1
247,e63ce2f,8.357032966310472,3.51,7.153,1.2040329663104723,1
247,4e610206,2.4738633753705948,2.14,2.7474000000000003,0.27353662462940553,1
248,e63ce2f,8.160882305241266,3.35,6.993,1.1678823052412657,1
248,8e610981,7.249827584156743,7.08,7.5955,0.34567241584325714,1
248,4e610206,2.6832815729997463,2.55,3.1574,0.47411842700025364,1
249,e63ce2f,8.0049984384758,3.68,7.323,0.6819984384757998,1
249,d10485af,8.85889383614004,8.01,10.0611,1.2022061638599606,1
249,d1044709,3.7947331922020546,1.3,2.2961,1.4986331922020546,1
250,e63ce2f,7.891767862779544,4.02,7.662999999999999,0.2287678627795442,1
250,d10485af,9.391485505499114,8.19,10.2411,0.8496144945008854,1
250,d1044709,4.02492235949962,1.3,2.2961,1.7288223594996204,1
251,4e610206,3.8418745424597085,3.85,4.4574,0.6155254575402913,1
252,d1044709,4.686149805543993,5.59,6.5861,1.8999501944560073,1
252,4e610206,4.326661530556787,4.25,4.8574,0.5307384694432136,1
253,8e610981,5.4,6.91,7.4255,2.0255,1
253,d1044709,0.8485281374238566,0.4,1.3961000000000001,0.5475718625761435,1
253,4e610206,5.399999999999999,3.72,4.3274,1.0725999999999987,1
256,8e610981,9.0,8.15,8.6655,0.33450000000000024,1
256,d10485af,1.8973665961010282,-0.12,1.9310999999999998,0.033733403898971615,1
256,d1044709,11.320777358467925,8.87,9.8661,1.4546773584679258,1
256,4e610206,6.489992295835181,5.67,6.2774,0.21259229583518113,1
258,8e610981,6.708203932499369,5.85,6.3655,0.3427039324993695,1
258,d10485af,3.794733192202055,2.1,4.1511,0.3563668077979445,1
258,d1044709,7.249827584156743,6.37,7.3661,0.1162724158432571,1
259,8e610981,7.249827584156743,7.04,7.5555,0.3056724158432571,1
262,e63ce2f,15.749285698088025,10.83,14.472999999999999,1.2762856980880262,1
262,8e610981,7.2993150363578625,8.5,9.0155,1.716184963642137,1
263,8e610981,7.199999999999999,7.9,8.4155,1.2155000000000005,1
264,8e610981,7.224956747275376,5.69,6.205500000000001,1.0194567472753757,1
264,d10485af,1.1999999999999997,0.79,2.8411,1.6411000000000002,1
265,8e610981,7.2993150363578625,5.56,6.0755,1.2238150363578626,1
265,d10485af,1.8000000000000003,1.43,3.4810999999999996,1.6810999999999994,1
266,d10485af,2.4,2.04,4.0911,1.6911,1
266,4e610206,4.024922359499622,1.59,2.1974,1.8275223594996222,1
267,d10485af,2.9999999999999996,2.67,4.7211,1.7211000000000003,1
268,d10485af,3.6,3.39,5.4411000000000005,1.8411000000000004,1
269,4e610206,2.545584412271572,2.27,2.8774,0.33181558772842834,1
