phaseA_rank,feat_mode,calib_kind,huber_f_wifi,gate_threshold_m,uwb_variance_inflate,huber_f_fusion,irls_residual_thresh_m,irls_max_iter,train_CV_mean_RMSE_C_m
0,bias_sub,identity,1.35,1.65,8.0,1.35,3.1,3,2.641549468210297
0,bias_sub,identity,1.35,1.35,24.0,1.0,2.85,3,2.641650304750582
0,bias_sub,identity,1.35,1.65,8.0,1.35,3.05,2,2.6418859777584403
0,bias_sub,identity,1.35,1.65,10.0,1.35,2.95,2,2.6420297210838593
0,bias_sub,identity,1.35,1.65,8.0,1.35,3.05,3,2.642349130018706
0,bias_sub,identity,1.35,1.65,8.0,1.35,2.95,2,2.64346920933501
0,bias_sub,identity,1.35,1.65,10.0,1.35,2.85,2,2.644016653621498
0,bias_sub,identity,1.35,1.65,8.0,1.35,2.95,3,2.6440412212581497
0,bias_sub,identity,1.35,1.65,8.0,1.35,2.85,2,2.6448236346330805
0,bias_sub,identity,1.35,1.65,8.0,1.0,3.1,2,2.644908012268743
0,bias_sub,identity,1.35,1.65,10.0,1.35,3.1,3,2.6451095011947854
0,bias_sub,identity,1.35,1.65,8.0,1.0,3.05,2,2.6456415597545493
0,bias_sub,identity,1.35,1.65,10.0,1.35,3.05,3,2.6459215509749714
0,bias_sub,identity,1.35,1.65,24.0,1.0,3.1,2,2.646019992596234
0,bias_sub,identity,1.35,1.65,24.0,1.0,3.05,2,2.6469547305443353
0,bias_sub,identity,1.35,1.65,8.0,1.0,2.95,2,2.647331808383712
0,bias_sub,identity,1.35,1.65,10.0,1.35,2.95,3,2.647641453518009
0,bias_sub,identity,1.35,1.65,10.0,1.0,3.1,2,2.6480503050025916
0,bias_sub,identity,1.35,1.65,10.0,1.0,3.05,2,2.6488241912669026
0,bias_sub,identity,1.35,1.65,24.0,1.0,2.95,2,2.6490339327672685
0,bias_sub,identity,1.35,1.65,8.0,1.0,2.85,2,2.6491538926455434
0,bias_sub,identity,1.35,1.65,10.0,1.35,2.85,3,2.649392450194037
0,bias_sub,identity,1.35,1.65,8.0,1.0,3.1,3,2.64941818898299
0,bias_sub,identity,1.35,1.65,8.0,1.0,3.05,3,2.650404129844023
0,bias_sub,identity,1.35,1.65,10.0,1.0,2.95,2,2.650558611688016
0,bias_sub,identity,1.35,1.65,8.0,1.35,2.85,3,2.6507178880407523
0,bias_sub,identity,1.35,1.65,24.0,1.0,2.85,2,2.651219204975464
0,bias_sub,identity,1.35,1.65,24.0,1.0,3.1,3,2.6516488786870567
0,bias_sub,identity,1.35,1.65,10.0,1.0,2.85,2,2.652367070539768
0,bias_sub,identity,1.35,1.65,8.0,1.0,2.95,3,2.6525798103852503
0,bias_sub,identity,1.35,1.65,24.0,1.0,3.05,3,2.6527838620546893
0,bias_sub,identity,1.35,1.65,10.0,1.0,3.1,3,2.652834694848694
0,bias_sub,identity,1.35,1.65,10.0,1.0,3.05,3,2.6538708866405103
0,bias_sub,identity,1.35,1.65,8.0,1.0,2.85,3,2.6543532749133387
0,bias_sub,identity,1.35,1.65,24.0,1.0,2.95,3,2.6552069773040246
0,bias_sub,identity,1.35,1.65,10.0,1.0,2.85,3,2.6554625682302295
0,bias_sub,identity,1.35,1.65,10.0,1.0,2.95,3,2.65593864886292
0,bias_sub,identity,1.35,1.65,24.0,1.0,2.85,3,2.6571729093463006
