anchor_key,true_dist_m,median_bias_corrected_m,gate_resid_m
8e610981,6.708203932499369,6.0055000000000005,0.7027039324993689
d1044709,6.177378084592201,6.8061,0.628721915407799
4e610206,2.473863375370597,2.7274000000000003,0.2535366246294033
4e610206,2.4738633753705948,2.8574,0.3835366246294054
4e610206,12.059850745345067,11.7674,0.2924507453450662
d1044709,8.919641248391104,9.796100000000001,0.8764587516088973
d1044709,3.8418745424597094,2.9961,0.8457745424597092
4e610206,8.73613186713662,6.8074,1.9287318671366203
e63ce2f,9.840731680114036,9.242999999999999,0.5977316801140375
4e610206,3.3941125496954276,3.5074,0.11328745030457243
e63ce2f,8.357032966310472,9.643,1.2859670336895288
d1044709,3.5999999999999996,1.5960999999999999,2.0039
d1044709,8.919641248391104,9.3961,0.47645875160889695
8e610981,8.73613186713662,6.9855,1.7506318671366206
8e610981,6.0,7.5955,1.5955000000000004
8e610981,6.118823416311342,7.995500000000001,1.876676583688659
8e610981,3.0,3.1955,0.1955
d1044709,3.794733192202056,3.9861000000000004,0.19136680779794446
4e610206,7.8,8.9274,1.1274000000000006
8e610981,6.841052550594828,8.7255,1.8844474494051724
e63ce2f,9.486832980505138,7.883,1.6038329805051381
8e610981,4.686149805543993,4.995500000000001,0.309350194456008
e63ce2f,9.158602513484249,7.503,1.655602513484249
8e610981,5.161395160225576,5.4655000000000005,0.3041048397744248
d10485af,6.378087487640788,8.191099999999999,1.8130125123592107
d1044709,4.024922359499621,2.5261,1.4988223594996213
e63ce2f,8.85889383614004,7.233,1.6258938361400395
8e610981,5.660388679233963,5.995500000000001,0.3351113207660381
d1044709,3.794733192202055,2.2961,1.498633192202055
e63ce2f,8.590692637965812,7.243,1.347692637965812
8e610981,6.177378084592201,6.495500000000001,0.3181219154077999
4e610206,2.3999999999999986,2.9374000000000002,0.5374000000000017
e63ce2f,8.357032966310472,7.153,1.2040329663104723
4e610206,2.4738633753705948,2.7474000000000003,0.27353662462940553
e63ce2f,8.160882305241266,6.993,1.1678823052412657
8e610981,7.249827584156743,7.5955,0.34567241584325714
4e610206,2.6832815729997463,3.1574,0.47411842700025364
e63ce2f,8.0049984384758,7.323,0.6819984384757998
d10485af,8.85889383614004,10.0611,1.2022061638599606
d1044709,3.7947331922020546,2.2961,1.4986331922020546
e63ce2f,7.891767862779544,7.662999999999999,0.2287678627795442
d10485af,9.391485505499114,10.2411,0.8496144945008854
d1044709,4.02492235949962,2.2961,1.7288223594996204
4e610206,3.8418745424597085,4.4574,0.6155254575402913
d1044709,4.686149805543993,6.5861,1.8999501944560073
4e610206,4.326661530556787,4.8574,0.5307384694432136
8e610981,5.4,7.4255,2.0255
d1044709,0.8485281374238566,1.3961000000000001,0.5475718625761435
4e610206,5.399999999999999,4.3274,1.0725999999999987
8e610981,9.0,8.6655,0.33450000000000024
d10485af,1.8973665961010282,1.9310999999999998,0.033733403898971615
d1044709,11.320777358467925,9.8661,1.4546773584679258
4e610206,6.489992295835181,6.2774,0.21259229583518113
8e610981,6.708203932499369,6.3655,0.3427039324993695
d10485af,3.794733192202055,4.1511,0.3563668077979445
d1044709,7.249827584156743,7.3661,0.1162724158432571
8e610981,7.249827584156743,7.5555,0.3056724158432571
e63ce2f,15.749285698088025,14.472999999999999,1.2762856980880262
8e610981,7.2993150363578625,9.0155,1.716184963642137
8e610981,7.199999999999999,8.4155,1.2155000000000005
8e610981,7.224956747275376,6.205500000000001,1.0194567472753757
d10485af,1.1999999999999997,2.8411,1.6411000000000002
8e610981,7.2993150363578625,6.0755,1.2238150363578626
d10485af,1.8000000000000003,3.4810999999999996,1.6810999999999994
d10485af,2.4,4.0911,1.6911
4e610206,4.024922359499622,2.1974,1.8275223594996222
d10485af,2.9999999999999996,4.7211,1.7211000000000003
d10485af,3.6,5.4411000000000005,1.8411000000000004
4e610206,2.545584412271572,2.8774,0.33181558772842834
