Node_x,Node_y,110394ab_실제거리,110394ab_중간값,110394ab_오차율(%),e63ce2f_실제거리,e63ce2f_중간값,e63ce2f_오차율(%),8e610981_실제거리,8e610981_중간값,8e610981_오차율(%),d10485af_실제거리,d10485af_중간값,d10485af_오차율(%),d1044709(식별잘안됨)_실제거리,d1044709(식별잘안됨)_중간값,d1044709(식별잘안됨)_오차율(%),4e610206_실제거리,4e610206_중간값,4e610206_오차율(%),SW_first_team_실제거리,SW_first_team_중간값,SW_first_team_오차율(%),SW_4_실제거리,SW_4_중간값,SW_4_오차율(%),SW_5_실제거리,SW_5_중간값,SW_5_오차율(%),SW_6_실제거리,SW_6_중간값,SW_6_오차율(%),SW_11_실제거리,SW_11_중간값,SW_11_오차율(%),볼링공_실제거리,볼링공_중간값,볼링공_오차율(%)
4,15,2.236,9.36,318.6046511627906,17.464,0.6,96.56436097114063,12.166,6.94,42.95577839881638,24.021,,,16.279,1.68,89.67995577123902,23.707,,,17.464,8.2,53.04626660558864,24.021,4.98,79.26814037716997,23.707,6.02,74.60665626186359,16.279,8.64,46.92548682351496,2.236,5.8,159.39177101967798,12.166,,
4,21,2.236,4.19,87.3881932021467,17.464,4.6,73.66010077874485,12.166,3.1,74.51915173434162,24.021,,,16.279,4.56,71.98845137907735,23.707,,,17.464,11.44,34.49381584974805,24.021,1.82,92.42329628241956,23.707,3.68,84.47715864512591,16.279,7.05,56.692671540020875,2.236,8.46,278.3542039355993,12.166,1.92,84.21831333223739
4,28,2.236,1.88,15.921288014311283,17.464,10.29,41.078790655061844,12.166,0.63,94.82163406214038,24.021,,,16.279,7.18,55.894096688985805,23.707,,,17.464,13.91,20.35043518094365,24.021,,,23.707,5.97,74.81756443244612,16.279,8.52,47.66263283985503,2.236,17.57,685.7781753130589,12.166,5.63,53.72349169817524
7,3,8.062,7.58,5.978665343587191,11.705,8.0,31.65313968389577,12.649,4.74,62.52668195114238,24.515,7.0,71.44605343667143,12.53,7.16,42.857142857142854,21.587,3.02,86.01009867049613,11.705,5.61,52.0717642033319,24.515,19.6,20.048949622679988,21.587,11.21,48.070598045119745,12.53,5.97,52.35434956105347,8.062,1.43,82.26246588935749,12.649,5.89,53.435054154478614
7,9,16.031,,,5.0,7.65,53.0,16.971,3.42,79.84797595898885,27.295,,,11.18,7.52,32.73703041144902,21.213,4.41,79.21086126431905,5.0,6.51,30.199999999999992,27.295,13.7,49.8076570800513,21.213,9.87,53.47192759157121,11.18,3.58,67.97853309481216,16.031,2.07,87.08751793400286,16.971,3.19,81.20322903777031
7,15,6.708,,,16.279,8.91,45.2669082867498,5.099,0.76,85.09511668954698,17.0,,,11.705,7.82,33.190944041008116,17.205,7.25,57.86108689334495,16.279,7.6,53.31408563179557,17.0,11.15,34.411764705882355,17.205,6.98,59.43039814007556,11.705,5.8,50.44852627082443,6.708,5.6,16.517590936195596,5.099,,
7,21,17.088,,,4.243,5.09,19.962290831958505,13.0,3.78,70.92307692307693,21.401,13.4,37.38610345310966,4.472,5.92,32.37924865831841,14.318,,,4.243,10.43,145.81663917039828,21.401,3.71,82.6643614784356,14.318,2.58,81.98072356474367,4.472,3.95,11.672629695885513,17.088,10.08,41.01123595505618,13.0,1.58,87.84615384615384
7,27,14.866,2.23,84.99932732409525,17.804,8.07,54.67310716692877,3.162,1.68,46.86907020872865,9.22,,,9.849,10.43,5.899076048329775,10.0,,,17.804,12.61,29.173219501235675,9.22,,,10.0,2.62,73.8,9.849,7.14,27.50533049040512,14.866,12.07,18.808018296784606,3.162,5.2,64.45287792536371
0,4,20.518,4.99,75.67989082756604,11.705,6.72,42.58863733447245,11.402,,,15.0,3.9,74.0,4.123,,,6.325,0.4,93.67588932806323,11.705,12.77,9.09867577958137,15.0,13.65,8.999999999999998,6.325,14.46,128.61660079051384,4.123,12.11,193.71816638370117,20.518,0.63,96.92952529486305,11.402,6.59,42.203122259252766
0,20,20.1,5.7,71.64179104477613,24.042,,,9.22,2.22,75.92190889370933,3.162,7.1,124.5414294750158,15.62,2.23,85.72343149807938,11.0,7.69,30.090909090909086,24.042,14.24,40.77031860910074,3.162,5.98,89.12080961416827,11.0,8.74,20.545454545454543,15.62,10.06,35.59539052496798,20.1,9.36,53.432835820895534,9.22,4.4,52.27765726681128
1,8,21.541,3.56,83.47337635207279,20.248,4.4,78.26945871197155,9.849,2.13,78.37343892780993,5.831,3.9,33.11610358429087,11.662,4.54,61.070142342651344,5.0,1.96,60.8,20.248,11.71,42.16712761754247,5.831,13.38,129.46321385697135,5.0,13.35,167.0,11.662,9.78,16.13788372491855,21.541,1.72,92.01522677684416,9.849,10.26,4.173012488577516
2,15,27.203,3.77,86.14123442267397,19.235,6.89,64.17988042630621,16.279,1.72,89.43424043245899,13.038,1.89,85.50391164289,12.166,1.67,86.27322045043564,3.606,8.06,123.51636161952304,19.235,12.56,34.702365479594484,13.038,11.35,12.946770977143737,3.606,9.59,165.94564614531336,12.166,10.71,11.967779056386647,27.203,6.6,75.73797007682977,16.279,2.02,87.59137539160882
3,26,4.0,7.88,97.0,20.248,,,15.524,,,27.166,0.64,97.64411396598689,19.799,10.02,49.391383403202184,27.295,2.58,90.54771936252062,20.248,16.46,18.708020545239037,27.166,0.34,98.74843554443054,27.295,7.24,73.47499542040666,19.799,9.96,49.694429011566235,4.0,13.27,231.75,15.524,7.26,53.23370265395516
7,4,1.0,7.49,649.0,19.416,5.63,71.00329625051505,12.649,1.51,88.0622974148154,24.187,11.14,53.94220035556291,17.804,7.28,59.11031228937317,24.698,0.94,96.19402380759576,19.416,8.11,58.23032550473837,24.187,15.47,36.04002149915244,24.698,12.88,47.8500283423759,17.804,7.53,57.70613345315658,1.0,3.56,256.0,12.649,6.55,48.217250375523754
10,5,1.0,,,19.416,,,12.649,6.17,51.221440430073514,24.187,4.25,82.42857733493199,17.804,0.67,96.23680071893955,24.698,5.34,78.37881609846951,19.416,5.66,70.84878450762258,24.187,13.26,45.177161284987804,24.698,13.31,46.1089966798931,17.804,5.59,68.60256122219725,1.0,6.77,577.0,12.649,6.48,48.77065380662503
